city,time,pm2_5,pm10,ozone
Bengaluru,2025-12-11 00:00:00,50.9,53.3,119
Kolkata,2025-12-11 00:00:00,187.2,190.5,44
Mumbai,2025-12-11 00:00:00,30.7,30.7,26
Bengaluru,2025-12-11 00:00:00,50.9,53.3,119
Delhi,2025-12-11 00:00:00,105.2,106.2,45
Bengaluru,2025-12-11 00:00:00,50.9,53.3,119
Delhi,2025-12-11 00:00:00,105.2,106.2,45
Delhi,2025-12-11 00:00:00,105.2,106.2,45
Hyderabad,2025-12-11 00:00:00,29.5,30.4,92
Hyderabad,2025-12-11 00:00:00,29.5,30.4,92
Bengaluru,2025-12-11 01:00:00,53.9,56.2,120
Delhi,2025-12-11 01:00:00,110.1,111.1,37
Mumbai,2025-12-11 01:00:00,29.8,29.9,23
Delhi,2025-12-11 01:00:00,110.1,111.1,37
Kolkata,2025-12-11 01:00:00,183.9,186.3,57
Delhi,2025-12-11 01:00:00,110.1,111.1,37
Bengaluru,2025-12-11 01:00:00,53.9,56.2,120
Bengaluru,2025-12-11 01:00:00,53.9,56.2,120
Hyderabad,2025-12-11 01:00:00,29.0,29.7,86
Hyderabad,2025-12-11 01:00:00,29.0,29.7,86
Bengaluru,2025-12-11 02:00:00,57.5,59.8,120
Delhi,2025-12-11 02:00:00,124.3,125.3,28
Mumbai,2025-12-11 02:00:00,32.2,32.4,24
Delhi,2025-12-11 02:00:00,124.3,125.3,28
Bengaluru,2025-12-11 02:00:00,57.5,59.8,120
Hyderabad,2025-12-11 02:00:00,30.2,30.7,79
Kolkata,2025-12-11 02:00:00,176.0,178.3,76
Bengaluru,2025-12-11 02:00:00,57.5,59.8,120
Delhi,2025-12-11 02:00:00,124.3,125.3,28
Hyderabad,2025-12-11 02:00:00,30.2,30.7,79
Bengaluru,2025-12-11 03:00:00,58.2,60.8,123
Delhi,2025-12-11 03:00:00,130.4,131.3,36
Hyderabad,2025-12-11 03:00:00,27.1,27.4,82
Mumbai,2025-12-11 03:00:00,36.2,36.3,40
Bengaluru,2025-12-11 03:00:00,58.2,60.8,123
Kolkata,2025-12-11 03:00:00,167.2,169.0,102
Delhi,2025-12-11 03:00:00,130.4,131.3,36
Hyderabad,2025-12-11 03:00:00,27.1,27.4,82
Delhi,2025-12-11 03:00:00,130.4,131.3,36
Bengaluru,2025-12-11 03:00:00,58.2,60.8,123
Delhi,2025-12-11 04:00:00,123.9,124.3,79
Mumbai,2025-12-11 04:00:00,38.8,38.8,84
Hyderabad,2025-12-11 04:00:00,21.7,22.0,105
Kolkata,2025-12-11 04:00:00,154.6,156.9,142
Bengaluru,2025-12-11 04:00:00,53.4,56.7,135
Bengaluru,2025-12-11 04:00:00,53.4,56.7,135
Hyderabad,2025-12-11 04:00:00,21.7,22.0,105
Delhi,2025-12-11 04:00:00,123.9,124.3,79
Bengaluru,2025-12-11 04:00:00,53.4,56.7,135
Delhi,2025-12-11 04:00:00,123.9,124.3,79
Hyderabad,2025-12-11 05:00:00,18.5,18.9,139
Delhi,2025-12-11 05:00:00,110.8,111.5,139
Bengaluru,2025-12-11 05:00:00,45.5,48.4,150
Mumbai,2025-12-11 05:00:00,39.7,39.7,143
Bengaluru,2025-12-11 05:00:00,45.5,48.4,150
Kolkata,2025-12-11 05:00:00,127.6,131.3,189
Delhi,2025-12-11 05:00:00,110.8,111.5,139
Hyderabad,2025-12-11 05:00:00,18.5,18.9,139
Bengaluru,2025-12-11 05:00:00,45.5,48.4,150
Delhi,2025-12-11 05:00:00,110.8,111.5,139
Mumbai,2025-12-11 06:00:00,38.6,38.6,198
Bengaluru,2025-12-11 06:00:00,40.7,43.1,160
Bengaluru,2025-12-11 06:00:00,40.7,43.1,160
Delhi,2025-12-11 06:00:00,90.3,91.0,183
Bengaluru,2025-12-11 06:00:00,40.7,43.1,160
Delhi,2025-12-11 06:00:00,90.3,91.0,183
Hyderabad,2025-12-11 06:00:00,16.8,17.2,163
Hyderabad,2025-12-11 06:00:00,16.8,17.2,163
Delhi,2025-12-11 06:00:00,90.3,91.0,183
Kolkata,2025-12-11 06:00:00,90.6,96.6,223
Delhi,2025-12-11 07:00:00,71.2,71.9,199
Hyderabad,2025-12-11 07:00:00,16.3,16.6,171
Mumbai,2025-12-11 07:00:00,40.2,40.2,248
Delhi,2025-12-11 07:00:00,71.2,71.9,199
Bengaluru,2025-12-11 07:00:00,38.2,40.2,161
Bengaluru,2025-12-11 07:00:00,38.2,40.2,161
Bengaluru,2025-12-11 07:00:00,38.2,40.2,161
Hyderabad,2025-12-11 07:00:00,16.3,16.6,171
Delhi,2025-12-11 07:00:00,71.2,71.9,199
Kolkata,2025-12-11 07:00:00,82.0,88.5,236
Bengaluru,2025-12-11 08:00:00,36.4,38.5,157
Mumbai,2025-12-11 08:00:00,47.4,47.4,292
Delhi,2025-12-11 08:00:00,61.7,62.2,199
Bengaluru,2025-12-11 08:00:00,36.4,38.5,157
Delhi,2025-12-11 08:00:00,61.7,62.2,199
Hyderabad,2025-12-11 08:00:00,15.7,16.0,169
Kolkata,2025-12-11 08:00:00,78.5,84.8,236
Hyderabad,2025-12-11 08:00:00,15.7,16.0,169
Delhi,2025-12-11 08:00:00,61.7,62.2,199
Bengaluru,2025-12-11 08:00:00,36.4,38.5,157
Bengaluru,2025-12-11 09:00:00,36.2,38.3,150
Bengaluru,2025-12-11 09:00:00,36.2,38.3,150
Hyderabad,2025-12-11 09:00:00,15.0,15.3,163
Delhi,2025-12-11 09:00:00,55.5,56.0,188
Hyderabad,2025-12-11 09:00:00,15.0,15.3,163
Mumbai,2025-12-11 09:00:00,49.5,49.7,313
Delhi,2025-12-11 09:00:00,55.5,56.0,188
Delhi,2025-12-11 09:00:00,55.5,56.0,188
Bengaluru,2025-12-11 09:00:00,36.2,38.3,150
Kolkata,2025-12-11 09:00:00,77.3,83.6,226
Bengaluru,2025-12-11 10:00:00,36.8,38.9,141
Hyderabad,2025-12-11 10:00:00,14.6,15.0,152
Mumbai,2025-12-11 10:00:00,47.8,48.3,293
Hyderabad,2025-12-11 10:00:00,14.6,15.0,152
Delhi,2025-12-11 10:00:00,52.0,52.5,163
Bengaluru,2025-12-11 10:00:00,36.8,38.9,141
Bengaluru,2025-12-11 10:00:00,36.8,38.9,141
Delhi,2025-12-11 10:00:00,52.0,52.5,163
Delhi,2025-12-11 10:00:00,52.0,52.5,163
Kolkata,2025-12-11 10:00:00,77.1,82.9,204
Delhi,2025-12-11 11:00:00,55.1,55.4,126
Bengaluru,2025-12-11 11:00:00,38.3,40.2,129
Delhi,2025-12-11 11:00:00,55.1,55.4,126
Mumbai,2025-12-11 11:00:00,43.7,44.4,250
Hyderabad,2025-12-11 11:00:00,14.6,15.0,136
Bengaluru,2025-12-11 11:00:00,38.3,40.2,129
Bengaluru,2025-12-11 11:00:00,38.3,40.2,129
Delhi,2025-12-11 11:00:00,55.1,55.4,126
Kolkata,2025-12-11 11:00:00,95.5,100.1,173
Hyderabad,2025-12-11 11:00:00,14.6,15.0,136
Kolkata,2025-12-11 12:00:00,120.6,125.7,142
Hyderabad,2025-12-11 12:00:00,18.1,18.4,119
Mumbai,2025-12-11 12:00:00,35.5,36.3,209
Bengaluru,2025-12-11 12:00:00,41.9,43.4,116
Bengaluru,2025-12-11 12:00:00,41.9,43.4,116
Delhi,2025-12-11 12:00:00,69.6,69.8,94
Delhi,2025-12-11 12:00:00,69.6,69.8,94
Delhi,2025-12-11 12:00:00,69.6,69.8,94
Bengaluru,2025-12-11 12:00:00,41.9,43.4,116
Hyderabad,2025-12-11 12:00:00,18.1,18.4,119
Delhi,2025-12-11 13:00:00,85.2,85.4,70
Delhi,2025-12-11 13:00:00,85.2,85.4,70
Bengaluru,2025-12-11 13:00:00,47.0,48.2,101
Bengaluru,2025-12-11 13:00:00,47.0,48.2,101
Mumbai,2025-12-11 13:00:00,27.4,28.5,181
Hyderabad,2025-12-11 13:00:00,24.0,24.3,102
Hyderabad,2025-12-11 13:00:00,24.0,24.3,102
Bengaluru,2025-12-11 13:00:00,47.0,48.2,101
Delhi,2025-12-11 13:00:00,85.2,85.4,70
Kolkata,2025-12-11 13:00:00,145.3,149.9,114
Hyderabad,2025-12-11 14:00:00,27.8,28.2,84
Bengaluru,2025-12-11 14:00:00,50.5,51.6,86
Mumbai,2025-12-11 14:00:00,23.3,24.5,156
Delhi,2025-12-11 14:00:00,96.4,96.9,49
Bengaluru,2025-12-11 14:00:00,50.5,51.6,86
Hyderabad,2025-12-11 14:00:00,27.8,28.2,84
Bengaluru,2025-12-11 14:00:00,50.5,51.6,86
Delhi,2025-12-11 14:00:00,96.4,96.9,49
Delhi,2025-12-11 14:00:00,96.4,96.9,49
Kolkata,2025-12-11 14:00:00,165.8,170.4,87
Hyderabad,2025-12-11 15:00:00,30.3,30.7,72
Bengaluru,2025-12-11 15:00:00,51.8,53.0,75
Hyderabad,2025-12-11 15:00:00,30.3,30.7,72
Delhi,2025-12-11 15:00:00,107.8,108.3,34
Delhi,2025-12-11 15:00:00,107.8,108.3,34
Delhi,2025-12-11 15:00:00,107.8,108.3,34
Bengaluru,2025-12-11 15:00:00,51.8,53.0,75
Mumbai,2025-12-11 15:00:00,23.6,24.6,135
Bengaluru,2025-12-11 15:00:00,51.8,53.0,75
Kolkata,2025-12-11 15:00:00,181.1,185.8,65
Delhi,2025-12-11 16:00:00,121.1,121.5,27
Bengaluru,2025-12-11 16:00:00,52.4,53.4,72
Hyderabad,2025-12-11 16:00:00,32.5,32.9,68
Mumbai,2025-12-11 16:00:00,26.7,27.5,117
