date,hour,temperature_c
2025-12-11,0,15.060000000000002
2025-12-11,1,14.440000000000001
2025-12-11,2,13.940000000000001
2025-12-11,3,13.459999999999999
2025-12-11,4,13.02
2025-12-11,5,12.6
2025-12-11,6,12.219999999999999
2025-12-11,7,12.919999999999998
2025-12-11,8,16.32
2025-12-11,9,20.1
2025-12-11,10,23.32
2025-12-11,11,25.46
2025-12-11,12,26.98
2025-12-11,13,27.839999999999996
2025-12-11,14,28.1
2025-12-11,15,27.82
2025-12-11,16,26.919999999999998
2025-12-11,17,24.26
2025-12-11,18,21.380000000000003
2025-12-11,19,19.439999999999998
2025-12-11,20,18.0
2025-12-11,21,16.64
2025-12-11,22,15.76
2025-12-11,23,14.74
